epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5370.79,0.55791,0.46097,0.8984,0.92984,0.75189,0.83455,0.70308,0.49061,0.45604,0.8395,0.000294061,0.000294061,0.000294061
43,5494.67,0.55798,0.45795,0.89849,0.91976,0.76566,0.83317,0.70068,0.48488,0.43318,0.83848,0.000279063,0.000279063,0.000279063
44,5619.96,0.54439,0.45139,0.89353,0.94804,0.74828,0.84156,0.70666,0.48631,0.42428,0.8345,0.000264064,0.000264064,0.000264064
45,5745.18,0.54283,0.44251,0.89583,0.94731,0.74682,0.84483,0.71301,0.47773,0.40503,0.83748,0.000249066,0.000249066,0.000249066
46,5869.5,0.5446,0.44681,0.89532,0.94159,0.75576,0.84397,0.70535,0.47606,0.41646,0.83983,0.000234068,0.000234068,0.000234068
47,5994.81,0.53434,0.43698,0.89815,0.92134,0.77081,0.84502,0.7156,0.47753,0.41221,0.83254,0.000219069,0.000219069,0.000219069
48,6120.89,0.51565,0.4268,0.8933,0.92503,0.76772,0.844,0.71665,0.46462,0.4156,0.8328,0.00020407,0.00020407,0.00020407
49,6245.09,0.51825,0.42232,0.89315,0.91239,0.77424,0.84487,0.71931,0.46317,0.40176,0.83621,0.000189072,0.000189072,0.000189072
50,6368.92,0.51463,0.41295,0.89116,0.91948,0.77542,0.84247,0.71927,0.45938,0.40896,0.83226,0.000174074,0.000174074,0.000174074
51,6502.57,0.45286,0.36724,0.83982,0.94889,0.73596,0.83985,0.71544,0.47509,0.41331,0.83925,0.000159075,0.000159075,0.000159075
52,6626.36,0.44149,0.34435,0.83095,0.92028,0.75287,0.84091,0.70893,0.47271,0.41974,0.83716,0.000144077,0.000144077,0.000144077
53,6752.19,0.4326,0.32744,0.83088,0.95271,0.74867,0.84614,0.71783,0.46061,0.39587,0.83296,0.000129078,0.000129078,0.000129078
54,6875.88,0.43214,0.33117,0.82967,0.92225,0.76276,0.84804,0.72579,0.44995,0.39402,0.8289,0.00011408,0.00011408,0.00011408
55,7000.38,0.41668,0.31731,0.82852,0.913,0.77311,0.84777,0.72488,0.45482,0.39451,0.83405,9.9081e-05,9.9081e-05,9.9081e-05
56,7125.72,0.41403,0.31453,0.8265,0.92414,0.76874,0.84768,0.72714,0.44082,0.39397,0.82881,8.40825e-05,8.40825e-05,8.40825e-05
57,7249.42,0.40483,0.30287,0.82464,0.94892,0.76104,0.84908,0.72388,0.43926,0.39002,0.8285,6.9084e-05,6.9084e-05,6.9084e-05
58,7374.59,0.4067,0.30659,0.82584,0.91707,0.77381,0.84592,0.72666,0.4485,0.3959,0.83077,5.40855e-05,5.40855e-05,5.40855e-05
59,7499.5,0.39722,0.30027,0.82327,0.93798,0.76174,0.84477,0.72432,0.43945,0.39036,0.82893,3.9087e-05,3.9087e-05,3.9087e-05
60,7624.11,0.39421,0.29985,0.8252,0.93701,0.76791,0.84854,0.72806,0.43607,0.38834,0.82834,2.40885e-05,2.40885e-05,2.40885e-05
